Country,Indicator,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
RUS,BX.GSR.CCIS.CD,2623790000,3101490000,3493560000,4163110000,4503620000,3933500000,3903720000,4652750000,,,
RUS,BX.GSR.CCIS.ZS,5.337359728,5.34379778,5.604040551,5.93690956,6.850186229,7.620719678,7.708219795,8.085918675,,,
RUS,BX.TRF.PWKR.CD.DT,5250020000,6103270000,5787730000,6750810000,7776540000,6903390000,6688670000,8235000000,9287270000,10432480000,9836320000
RUS,EG.ELC.COAL.ZS,15.98305595,15.54215048,15.74945783,15.22169765,14.78792431,14.82165832,,,,,
RUS,EG.ELC.HYRO.ZS,16.06798853,15.74965266,15.51444713,17.12867664,16.49831079,15.76476859,,,,,
RUS,EG.ELC.LOSS.ZS,10.12753398,9.971690435,9.975283196,10.1167845,10.031412,,,,,,
RUS,EG.ELC.NGAS.ZS,50.23848681,49.30688575,49.13219983,50.11152726,50.21899913,49.71260943,,,,,
RUS,EG.ELC.NUCL.ZS,16.44748271,16.42363113,16.60262243,16.31144046,17.0150979,,,,,,
RUS,EG.ELC.PETR.ZS,0.897100325,2.596863631,2.622805484,0.82196392,1.006369942,0.946957789,,,,,
RUS,EG.USE.ELEC.KH.PC,6409.894365,6485.75903,6617.134161,6539.207375,6602.657479,,,,,,
RUS,ER.H2O.FWAG.ZS,,,19.93957704,,,,,28.97065673,,,
RUS,ER.H2O.FWDM.ZS,,,20.24169184,,,,,27.49573048,,,
RUS,ER.H2O.FWIN.ZS,,,59.81873112,,,,,43.53361279,,,
RUS,ER.H2O.FWTL.K3,,,64,,,,,64.41,,,
RUS,ER.H2O.FWTL.ZS,,,1.484230056,,,,,1.493738404,,,
RUS,ER.H2O.INTR.K3,,,4312,,,,,4312,,,
RUS,ER.H2O.INTR.PC,,,30111.36996,,,,,29841.5039,,,
RUS,IE.PPI.ENGY.CD,5981920000,5255570000,464677000,480000000,723100000,282000000,207010000,161000000,487420000,652310000,486950000
RUS,IE.PPI.ICTI.CD,,,,,,,,,,,
RUS,IE.PPI.TRAN.CD,4595900000,4284600000,3983900000,3100000,,1822200000,79400000,2037000000,1622700000,3357770000,925710000
RUS,IE.PPI.WATR.CD,,,100000000,,,1200000000,,,,,
RUS,IE.PPN.ENGY.CD,5187000000,4795000000,43000000,,262000000,282000000,207010000,127300000,188700000,652310000,486950000
RUS,IE.PPN.TRAN.CD,4347900000,,3900000000,,,1822200000,79400000,2037000000,1622700000,2974410000,925710000
RUS,IE.PPN.WATR.CD,,,100000000,,,1200000000,,,,,
RUS,IP.IDS.NRCT,2737,3190,4232,4285,4130,3386,3653,3601,5134,6516,
RUS,IP.IDS.RSCT,2880,2887,3638,2650,3183,2616,2912,3789,3823,4412,
RUS,IP.TMK.NRCT,54448,58952,64597,67367,61691,57356,58132,58301,59629,60249,
RUS,IP.TMK.RSCT,151735,148200,159564,168284,178024,161696,193213,233430,203854,246727,
RUS,IQ.SPI.PIL5,,,,,,,75,80,80,90,
RUS,IS.AIR.DPRT,523759,596042,636748,678071,747804,767043,746446,815708,885094,986608,
RUS,IS.AIR.GOOD.MT.K1,3531.583,3900.12005,4132.144,4249.26882,4413.55935,4761.04707,5863.19654,6845.22951,6810.61016,6620.69578,
RUS,IS.AIR.PSGR,43855539,50555805,58727125,64072322,72189961,76846126,77458318,89373638,99327311,115482744,
RUS,IS.RRS.GOOD.MT.K6,2011308,2127835,2222389,2196217,2300532,2305945,2344087,2493428,2597778,2602493,
RUS,IS.RRS.PASG.KM,138885,139742,144612,138517,130027,120644,124620,123096,129542,,
RUS,IS.RRS.TOTL.KM,85292,85166,85248,85266,,85262,85375,85545,85626,85494,
RUS,IS.SHP.GCNW.XQ,28.84864948,28.97890769,45.08137414,45.10968214,47.4851988,47.17393473,43.89130357,41.16646265,43.71101551,38.07321887,
RUS,IS.SHP.GOOD.TU,3243368,3857771,4085286,5208600,5252000,3909400,3923662,4515300,5059700,5311700,
RUS,IT.CEL.SETS,237689224,203751647,208065063,218300372,221030353,227288088,229126152,227299663,229431008,239795946,
